"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","537","testGetMoveItem","Surefire suite","Sun May 11 16:53:42 GMT 2025","passed","Sun May 11 16:53:42 GMT 2025","selenidetests.tests.SortableListTest","Surefire test","selenidetests.tests.SortableListTest","testGetMoveItem"
"","304","testRemoveAllTagsByButton","Surefire suite","Sun May 11 16:53:41 GMT 2025","passed","Sun May 11 16:53:42 GMT 2025","selenidetests.tests.TagsInputTest","Surefire test","selenidetests.tests.TagsInputTest","testRemoveAllTagsByButton"
"","721","testGetDropdownAnimals","Surefire suite","Sun May 11 16:53:43 GMT 2025","passed","Sun May 11 16:53:43 GMT 2025","selenidetests.tests.MultiLevelDropDownTest","Surefire test","selenidetests.tests.MultiLevelDropDownTest","testGetDropdownAnimals"
"","460","testGetDropdownSettings","Surefire suite","Sun May 11 16:53:57 GMT 2025","passed","Sun May 11 16:53:57 GMT 2025","selenidetests.tests.MultiLevelDropDownTest","Surefire test","selenidetests.tests.MultiLevelDropDownTest","testGetDropdownSettings"
"","456","testGetDropdownSettings","Surefire suite","Sun May 11 16:53:56 GMT 2025","passed","Sun May 11 16:53:57 GMT 2025","selenidetests.tests.MultiLevelDropDownTest","Surefire test","selenidetests.tests.MultiLevelDropDownTest","testGetDropdownSettings"
"","496","testGetDropdownAnimals","Surefire suite","Sun May 11 16:53:44 GMT 2025","passed","Sun May 11 16:53:44 GMT 2025","selenidetests.tests.MultiLevelDropDownTest","Surefire test","selenidetests.tests.MultiLevelDropDownTest","testGetDropdownAnimals"
"","768","testVerifyAccount","Surefire suite","Sun May 11 16:53:57 GMT 2025","passed","Sun May 11 16:53:58 GMT 2025","selenidetests.tests.AccountPageTest","Surefire test","selenidetests.tests.AccountPageTest","testVerifyAccount"
"","4546","testOpenNewTab","Surefire suite","Sun May 11 16:53:33 GMT 2025","passed","Sun May 11 16:53:37 GMT 2025","selenidetests.tests.OpenNewTabTest","Surefire test","selenidetests.tests.OpenNewTabTest","testOpenNewTab"
"","1471","testAddFewTags","Surefire suite","Sun May 11 16:53:39 GMT 2025","passed","Sun May 11 16:53:40 GMT 2025","selenidetests.tests.TagsInputTest","Surefire test","selenidetests.tests.TagsInputTest","testAddFewTags"
"","547","testGetDropdownAnimals","Surefire suite","Sun May 11 16:53:43 GMT 2025","passed","Sun May 11 16:53:44 GMT 2025","selenidetests.tests.MultiLevelDropDownTest","Surefire test","selenidetests.tests.MultiLevelDropDownTest","testGetDropdownAnimals"
"","533","testGetSizeOfTable","Surefire suite","Sun May 11 16:53:38 GMT 2025","passed","Sun May 11 16:53:39 GMT 2025","selenidetests.tests.DynamicPageTest","Surefire test","selenidetests.tests.DynamicPageTest","testGetSizeOfTable"
"","375","testRemoveAllTags","Surefire suite","Sun May 11 16:53:41 GMT 2025","passed","Sun May 11 16:53:41 GMT 2025","selenidetests.tests.TagsInputTest","Surefire test","selenidetests.tests.TagsInputTest","testRemoveAllTags"
"","346","testGetTagsRemaining","Surefire suite","Sun May 11 16:53:41 GMT 2025","passed","Sun May 11 16:53:41 GMT 2025","selenidetests.tests.TagsInputTest","Surefire test","selenidetests.tests.TagsInputTest","testGetTagsRemaining"
"","514","testDynamic","Surefire suite","Sun May 11 16:53:38 GMT 2025","passed","Sun May 11 16:53:38 GMT 2025","selenidetests.tests.DynamicPageTest","Surefire test","selenidetests.tests.DynamicPageTest","testDynamic"
"","350","testAddOneTag","Surefire suite","Sun May 11 16:53:40 GMT 2025","passed","Sun May 11 16:53:41 GMT 2025","selenidetests.tests.TagsInputTest","Surefire test","selenidetests.tests.TagsInputTest","testAddOneTag"
"","11147","testGetDropdownAnimals","Surefire suite","Sun May 11 16:53:44 GMT 2025","failed","Sun May 11 16:53:56 GMT 2025","selenidetests.tests.MultiLevelDropDownTest","Surefire test","selenidetests.tests.MultiLevelDropDownTest","testGetDropdownAnimals"
"","220","testVerifyTitle","Surefire suite","Sun May 11 16:53:58 GMT 2025","passed","Sun May 11 16:53:58 GMT 2025","selenidetests.tests.AccountPageTest","Surefire test","selenidetests.tests.AccountPageTest","testVerifyTitle"
"","337","testGetTitle","Surefire suite","Sun May 11 16:53:42 GMT 2025","passed","Sun May 11 16:53:43 GMT 2025","selenidetests.tests.SortableListTest","Surefire test","selenidetests.tests.SortableListTest","testGetTitle"
"","83","testVerifyHomePage","Surefire suite","Sun May 11 16:53:58 GMT 2025","passed","Sun May 11 16:53:58 GMT 2025","selenidetests.tests.HomPageTest","Surefire test","selenidetests.tests.HomPageTest","testVerifyHomePage"
"","778","testGetDropdownSettings","Surefire suite","Sun May 11 16:53:56 GMT 2025","passed","Sun May 11 16:53:56 GMT 2025","selenidetests.tests.MultiLevelDropDownTest","Surefire test","selenidetests.tests.MultiLevelDropDownTest","testGetDropdownSettings"
